slug,icon,titre,texte
annecy,🏊,Lac d'Annecy,"Juin-sep — baignade dans l'un des lacs les plus purs d'Europe, plages de Talloires."
annecy,🥾,Semnoz & Tournette,"Mai-oct — sentiers panoramiques surplombant le lac, départ vieille ville."
annecy,🏰,Vieille ville & Palais de l'Île,"Toute l'année — ruelles pavées, canaux, marché du dimanche."
annecy,🚴,Voie verte du lac,"Avr-oct — 40 km de piste cyclable en bord de lac, location facile."
annecy,🧀,Gastronomie savoyarde,"Oct-mars — tartiflette, fondue, raclette dans les fermes-auberges."
toulouse,🚀,Cité de l'Espace,"Toute l'année — parc spatial unique en Europe, réplique Ariane 5, planétarium."
toulouse,🍽️,Gastronomie Sud-Ouest,"Toute l'année — cassoulet, foie gras, marchés couverts Victor Hugo."
toulouse,🏞️,Canal du Midi,"Avr-oct — croisière ou vélo le long du canal UNESCO, écluses et platanes."
toulouse,🌹,Ville rose & Capitole,"Toute l'année — place du Capitole, Saint-Sernin, couvent des Jacobins."
toulouse,✈️,Visite Airbus,"Toute l'année — usine A380, musée Aeroscopia, coulisses aéronautiques."
alsace,🍷,Route des vins,"Sep-oct — vendanges, caves ouvertes de Thann à Marlenheim, 170 km."
alsace,🎄,Marchés de Noël,"Nov-déc — Strasbourg, Colmar, Kaysersberg : les plus anciens d'Europe."
alsace,🏘️,Villages à colombages,"Mai-sep — Riquewihr, Eguisheim, Kaysersberg sous le soleil."
alsace,🥾,Randonnée vosgienne,"Juin-sep — Grand Ballon, crêtes des Vosges, sentiers balisés."
alsace,🍺,Brasseries & winstubs,"Toute l'année — choucroute, flammekueche, bières locales à Strasbourg."
la-rochelle,⛵,Vieux-Port & voile,"Mai-sep — port historique, régates, tours médiévales illuminées."
la-rochelle,🚲,Île de Ré,"Juin-sep — vélo entre marais salants, plages et villages blancs."
la-rochelle,🐠,Aquarium,"Toute l'année — l'un des plus grands d'Europe, 12 000 espèces marines."
la-rochelle,🦪,Huîtres Marennes-Oléron,"Oct-mars — saison des huîtres, cabanes de dégustation au port."
val-d-isere,⛷️,Ski Espace Killy,"Déc-avr — 300 km de pistes partagées avec Tignes, poudreuse garantie."
val-d-isere,🥾,Parc de la Vanoise,"Juil-août — marmottes, lacs d'altitude, sentiers balisés."
val-d-isere,🚵,VTT & trail,"Juin-sep — descentes balisées, remontées mécaniques ouvertes l'été."
val-d-isere,🏔️,Face de Bellevarde,"Déc-mars — piste olympique 1992, dénivelé 959 m."
nantes,🐘,Machines de l'île,"Toute l'année — éléphant mécanique géant, Carrousel des Mondes Marins."
nantes,🏰,Château des ducs de Bretagne,"Toute l'année — forteresse médiévale, musée d'histoire gratuit."
nantes,🍷,Muscadet & vignobles,"Sep-oct — route du Muscadet, dégustations en bord de Loire."
nantes,🎨,Voyage à Nantes,"Juil-août — parcours artistique urbain estival, installations éphémères."
cannes,🎬,Festival de Cannes,"Mai — montée des marches, ambiance Croisette, projections plein air."
cannes,🏖️,Plages & Croisette,"Juin-sep — plages publiques et privées, eau à 24°C."
cannes,🏝️,Îles de Lérins,"Avr-oct — 15 min en bateau, Sainte-Marguerite et Saint-Honorat."
cannes,🍾,Marché Forville & bars du Suquet,"Toute l'année — marché provençal, restaurants étoilés, vieux quartier."
palma-de-majorque,🏛️,Cathédrale de la Seu,"Toute l'année — gothique en bord de mer, rosace géante, œuvre Gaudí."
palma-de-majorque,🏖️,Criques turquoise,"Mai-oct — Cala Mondragó, Cala Varques, Es Trenc."
palma-de-majorque,🚴,Serra de Tramuntana,"Mars-mai ou sep-oct — cols cyclistes UNESCO, routes panoramiques."
palma-de-majorque,🍷,Vins & ensaïmada,"Toute l'année — Binissalem DO, sobrasada, marchés locaux."
ronda,🌉,Pont Neuf & gorge du Tajo,"Toute l'année — Puente Nuevo, 100 m au-dessus du ravin."
ronda,🐂,Arènes historiques,"Mars-oct — plus ancienne arène d'Espagne (1785), musée taurin."
ronda,🍷,Bodegas de Ronda,"Sep-oct — vignobles en altitude, cépages locaux, route des vins."
ronda,🥾,Via Ferrata El Tajo,"Avr-juin ou sep-nov — parcours vertigineux au-dessus de la gorge."
marbella,🏖️,Plages & chiringuitos,"Mai-oct — Nikki Beach, Nagüeles, 27 km de côte dorée."
marbella,🏘️,Casco Antiguo,"Toute l'année — ruelles blanches, Plaza de los Naranjos, boutiques."
marbella,⛳,Golf,"Oct-mai — 15+ parcours (La Quinta, Aloha), températures 18-22°C."
marbella,🍽️,Puerto Banús,"Toute l'année — marina de luxe, restaurants, vie nocturne."
bari,🏛️,Bari Vecchia & Saint-Nicolas,"Toute l'année — vieille ville fortifiée, basilique romane, cathédrale."
bari,🍝,Orecchiette & focaccia,"Toute l'année — pâtes faites main dans les ruelles, focaccia barese."
bari,🏰,Castel del Monte,"Mars-oct — chef-d'œuvre UNESCO de Frédéric II, 70 km de Bari."
bari,🏖️,Polignano a Mare,"Juin-sep — falaises, criques, plongeon depuis les rochers."
lecce,🏛️,Baroque leccese,"Toute l'année — Santa Croce, Piazza del Duomo, pierre dorée sculptée."
lecce,🏖️,Plages du Salento,"Juin-sep — Torre dell'Orso, Pescoluse « Maldives des Pouilles »."
lecce,🍷,Primitivo & pasticciotto,"Toute l'année — vin Primitivo, pâtisserie locale, rustico leccese."
lecce,🎭,Sagre & fêtes,"Juil-août — fêtes patronales, sagre gastronomiques dans les villages."
genes,🏛️,Palazzi dei Rolli,"Toute l'année — plus grand centre médiéval d'Europe, palais UNESCO."
genes,🍝,Pesto & focaccia di Recco,"Toute l'année — pesto alla genovese, trofie, farinata."
