slug,mois,mois_num,tmin,tmax,rain_pct,precip_mm,sun_h,score,classe,source,sea_temp,beach_score,dew_point_mean,uv_index,wave_height_mean,swell_period_mean,aqi_mean,sun_source
ouagadougou,Janvier,1,17,33,0,0.0,8.7,8.5,rec,open-meteo,,,-2.8,6.6,,,84.0,observed
ouagadougou,Février,2,20,36,0,0.0,8.7,5.0,mid,open-meteo,,,-3.4,7.4,,,94.0,observed
ouagadougou,Mars,3,24,39,2,0.1,7.9,5.9,avoid,open-meteo,,,2.3,8.1,,,83.0,observed
ouagadougou,Avril,4,28,40,3,0.1,7.7,5.6,avoid,open-meteo,,,10.3,8.3,,,67.0,observed
ouagadougou,Mai,5,28,38,17,0.8,8.1,5.7,avoid,open-meteo,,,18.8,7.9,,,50.0,observed
ouagadougou,Juin,6,25,35,31,2.1,7.9,4.7,mid,open-meteo,,,21.1,7.8,,,40.0,observed
ouagadougou,Juillet,7,24,32,58,5.5,7.2,4.8,mid,open-meteo,,,22.0,6.9,,,24.0,observed
ouagadougou,Août,8,23,30,78,7.8,6.3,4.6,mid,open-meteo,,,22.3,6.7,,,20.0,observed
ouagadougou,Septembre,9,23,32,54,4.6,7.3,4.8,mid,open-meteo,,,22.5,7.2,,,22.0,observed
ouagadougou,Octobre,10,24,34,18,1.1,8.5,5.2,mid,open-meteo,,,19.4,6.9,,,34.0,observed
ouagadougou,Novembre,11,20,36,0,0.0,9.2,5.1,mid,open-meteo,,,8.1,6.6,,,93.0,observed
ouagadougou,Décembre,12,19,34,0,0.0,9.1,5.6,mid,open-meteo,,,1.0,6.1,,,233.0,observed
cotonou,Janvier,1,26,30,18,0.6,6.1,5.7,mid,open-meteo,29.6,9.0,23.0,7.8,0.92,9.7,77.0,observed
cotonou,Février,2,27,31,25,1.0,6.7,5.5,mid,open-meteo,28.9,8.7,24.4,8.3,0.96,9.8,91.0,observed
cotonou,Mars,3,27,30,43,2.1,6.9,5.3,mid,open-meteo,29.5,8.4,24.9,8.6,1.1,9.6,33.0,observed
cotonou,Avril,4,27,30,50,2.4,7.0,5.1,mid,open-meteo,30.3,8.2,24.8,8.2,1.21,9.1,23.0,observed
cotonou,Mai,5,26,30,64,4.6,6.3,4.8,mid,open-meteo,30.7,7.8,24.6,7.5,1.37,9.9,21.0,observed
cotonou,Juin,6,25,28,82,7.3,4.6,4.6,mid,open-meteo,29.7,7.2,23.6,7.0,1.39,8.6,21.0,observed
cotonou,Juillet,7,24,27,57,3.3,4.6,4.9,mid,open-meteo,27.3,7.1,22.9,7.0,1.6,10.1,22.0,observed
cotonou,Août,8,24,26,51,2.4,4.9,4.9,mid,open-meteo,25.6,6.9,22.6,7.8,1.58,10.0,19.0,observed
cotonou,Septembre,9,24,27,74,4.4,5.2,4.7,mid,open-meteo,26.4,6.9,23.1,7.9,1.48,9.0,18.0,observed
cotonou,Octobre,10,25,28,73,4.8,6.5,4.8,mid,open-meteo,28.1,7.5,23.9,7.2,1.23,9.2,20.0,observed
