slug,icon,titre,texte
annecy,🏊,Lac d'Annecy,"Juin-septembre — baignade dans l'un des lacs les plus purs d'Europe, plages de Talloires."
annecy,🥾,Semnoz & Tournette,"Mai-octobre — sentiers panoramiques au-dessus du lac, 1h depuis la vieille ville."
annecy,🏰,Vieille ville médiévale,"Toute l'année — Palais de l'Île, ruelles pavées, marché du dimanche."
annecy,🚴,Voie verte du lac,"Avril-octobre — 40 km de piste cyclable en bord de lac, location facile."
annecy,🧀,Gastronomie savoyarde,"Octobre-mars — tartiflette, fondue, raclette dans les fermes-auberges d'altitude."
toulouse,🚀,Cité de l'Espace,"Toute l'année — parc spatial unique en Europe, réplique Ariane 5, planétarium."
toulouse,🍽️,Gastronomie du Sud-Ouest,"Toute l'année — cassoulet, foie gras, marchés couverts Victor Hugo."
toulouse,🏞️,Canal du Midi,"Avril-octobre — croisière ou vélo le long du canal UNESCO, écluses et platanes."
toulouse,🌹,Ville rose & Capitole,"Toute l'année — place du Capitole, basilique Saint-Sernin, couvent des Jacobins."
toulouse,✈️,Visite Airbus,"Toute l'année — usine A380, musée Aeroscopia, berceau de l'aéronautique."
alsace,🍷,Route des vins,"Sep-octobre — vendanges, caves ouvertes de Thann à Marlenheim, 170 km."
alsace,🎄,Marchés de Noël,"Novembre-décembre — Strasbourg, Colmar, Kaysersberg : les plus anciens d'Europe."
alsace,🏘️,Villages à colombages,"Mai-septembre — Riquewihr, Eguisheim, Kaysersberg sous le soleil."
alsace,🥾,Randonnée vosgienne,"Juin-septembre — Grand Ballon, crêtes des Vosges, sentiers balisés."
alsace,🍺,Winstubs & brasseries,"Toute l'année — choucroute, flammekueche, bières locales à Strasbourg."
la-rochelle,⛵,Vieux-Port & voile,"Mai-septembre — port historique, régates, tours médiévales illuminées."
la-rochelle,🚲,Île de Ré à vélo,"Juin-septembre — marais salants, plages et villages blancs de l'autre côté du pont."
la-rochelle,🐠,Aquarium,"Toute l'année — l'un des plus grands d'Europe, 12 000 espèces marines."
la-rochelle,🦪,Huîtres & fruits de mer,"Octobre-mars — saison des huîtres Marennes-Oléron, cabanes du port."
val-d-isere,⛷️,Ski Espace Killy,"Décembre-avril — 300 km de pistes partagées avec Tignes, neige garantie."
val-d-isere,🥾,Parc de la Vanoise,"Juillet-août — marmottes, lacs d'altitude et bouquetins."
val-d-isere,🚵,VTT & trail,"Juin-septembre — descentes balisées, remontées mécaniques ouvertes l'été."
val-d-isere,🏔️,Face de Bellevarde,"Décembre-mars — piste olympique 1992, dénivelé 959 m."
nantes,🐘,Machines de l'île,"Toute l'année — éléphant mécanique géant, Carrousel des Mondes Marins."
nantes,🏰,Château des ducs,"Toute l'année — forteresse médiévale, musée d'histoire urbaine gratuit."
nantes,🍷,Route du Muscadet,"Septembre-octobre — dégustations en bord de Loire, domaines familiaux."
nantes,🎨,Voyage à Nantes,"Juillet-août — parcours artistique urbain estival, installations éphémères."
cannes,🎬,Festival de Cannes,"Mai — montée des marches, Croisette en effervescence, projections plein air."
cannes,🏖️,Plages de la Croisette,"Juin-septembre — plages publiques et privées, eau à 24°C."
cannes,🏝️,Îles de Lérins,"Avril-octobre — 15 min en bateau, Sainte-Marguerite et Saint-Honorat."
cannes,🍾,Gastronomie & bars,"Toute l'année — marché Forville, restaurants étoilés, bars du Suquet."
palma-de-majorque,🏛️,Cathédrale de la Seu,"Toute l'année — cathédrale gothique en bord de mer, rosace géante."
palma-de-majorque,🏖️,Criques turquoise,"Mai-octobre — Cala Mondragó, Cala Varques, Es Trenc."
palma-de-majorque,🚴,Serra de Tramuntana,"Mars-mai ou sep-oct — cols cyclistes UNESCO, routes panoramiques."
palma-de-majorque,🍷,Vins & ensaïmada,"Toute l'année — Binissalem DO, ensaïmada, sobrasada, marchés locaux."
ronda,🌉,Pont Neuf & gorge,"Toute l'année — Puente Nuevo au-dessus du Tajo, 100 m de profondeur."
ronda,🐂,Arènes historiques,"Mars-octobre — plus ancienne arène d'Espagne, musée taurin."
ronda,🍷,Bodegas de Ronda,"Septembre-octobre — vignobles en altitude, cépages locaux, dégustation."
ronda,🥾,Via Ferrata El Tajo,"Avril-juin ou sep-nov — parcours vertigineux au-dessus de la gorge."
marbella,🏖️,Plages & chiringuitos,"Mai-octobre — Nikki Beach, Playa de Nagüeles, 27 km de côte."
marbella,🏘️,Casco Antiguo,"Toute l'année — ruelles blanches, Plaza de los Naranjos, boutiques."
marbella,⛳,Golf Costa del Sol,"Octobre-mai — 15+ parcours, La Quinta, Aloha, températures idéales."
marbella,🍽️,Puerto Banús,"Toute l'année — marina de luxe, restaurants et vie nocturne glamour."
bari,🏛️,Bari Vecchia,"Toute l'année — basilique Saint-Nicolas, cathédrale romane, ruelles vivantes."
bari,🍝,Orecchiette fraîches,"Toute l'année — pâtes faites à la main dans les ruelles, focaccia barese."
bari,🏰,Castel del Monte,"Mars-octobre — chef-d'œuvre octogonal de Frédéric II UNESCO, 70 km."
bari,🏖️,Polignano a Mare,"Juin-septembre — criques spectaculaires, plongeon depuis les falaises."
lecce,🏛️,Baroque leccese,"Toute l'année — basilique Santa Croce, Piazza del Duomo, pierre dorée."
lecce,🏖️,Plages du Salento,"Juin-septembre — Torre dell'Orso, Pescoluse « Maldives des Pouilles »."
lecce,🍷,Primitivo & pasticciotto,"Toute l'année — vin Primitivo, pâtisserie locale, rustico leccese."
lecce,🎭,Fêtes & sagre,"Juillet-août — fêtes patronales, sagre gastronomiques dans les villages."
genes,🏛️,Centre historique,"Toute l'année — plus grand centre médiéval d'Europe, Palazzi dei Rolli UNESCO."
genes,🍝,Pesto & focaccia,"Toute l'année — pesto alla genovese, focaccia di Recco, trofie."
genes,🐠,Acquario di Genova,"Toute l'année — plus grand aquarium d'Italie, dauphins et manchots."
genes,🏖️,Cinque Terre,"Avril-octobre — 5 villages à 2h de train, sentiers côtiers spectaculaires."
catane,🌋,Excursions Etna,"Avril-octobre — sommet du plus grand volcan actif d'Europe, 3 350 m."
